StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,gender,gender_5_TEXT,age,ethnic,ethnic_10_TEXT,politic,politic_5_TEXT,education,language,language_8_TEXT,ResponseID,SONAid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I consent to participate in this study,What is your gender identity? - Selected Choice,What is your gender identity? - Other (please specify) - Text,How old are you? Please indicate your age in years:,Please specify your ethnic background(s). You may choose two or more if applicable. - Selected Choice,Please specify your ethnic background(s). You may choose two or more if applicable. - Other (please specify) - Text,Political preferences - Selected Choice,Political preferences - Other (please specify) - Text,What is your highest level of education?,What is the primary language spoken in your home? - Selected Choice,What is the primary language spoken in your home? - Other (please specify) - Text,ResponseID,SONAid
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_10_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_8_TEXT""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""SONAid""}"
2024-03-08 16:14:06,2024-03-08 16:14:41,Survey Preview,,100,35,True,2024-03-08 16:14:43,R_3s0vfiBtI7M1Bli,,,,,34.4265,-119.8631,preview,EN,Yes,,,,,,,,,,,R_3s0vfiBtI7M1Bli,
2024-03-08 16:15:25,2024-03-08 16:15:27,Survey Preview,,100,2,True,2024-03-08 16:15:31,R_3PxgxJVVIAVHegN,,,,,34.4265,-119.8631,preview,EN,Yes,,,,,,,,,,,R_3PxgxJVVIAVHegN,
2024-03-08 16:21:12,2024-03-08 16:21:16,Survey Preview,,100,3,True,2024-03-08 16:21:17,R_3bR44lYYXoLvxy9,,,,,34.4265,-119.8631,preview,EN,Yes,,,,,,,,,,,R_3bR44lYYXoLvxy9,
2024-03-10 13:37:22,2024-03-10 13:37:27,Survey Preview,,100,4,True,2024-03-10 13:37:30,R_3PjOvUSIML6j7Hw,,,,,34.4265,-119.8631,preview,EN,Yes,,,,,,,,,,,R_3PjOvUSIML6j7Hw,
2024-03-10 13:47:13,2024-03-10 13:47:24,Survey Preview,,100,10,True,2024-03-10 13:47:25,R_3JLfMWpkr5lLPeI,,,,,34.4265,-119.8631,preview,EN,No,,,,,,,,,,,R_3JLfMWpkr5lLPeI,
2024-03-15 01:19:52,2024-03-15 01:23:08,IP Address,70.185.131.238,100,196,True,2024-03-15 01:23:09,R_51haq8tP3xXVHsH,,,,,34.4265,-119.8631,anonymous,EN,Yes,,,,,,,,,,,R_51haq8tP3xXVHsH,
2024-03-15 01:23:30,2024-03-15 01:23:32,IP Address,70.185.131.238,100,2,True,2024-03-15 01:23:33,R_5aAM06zOehVv0eB,,,,,34.4265,-119.8631,anonymous,EN,Yes,,,,,,,,,,,R_5aAM06zOehVv0eB,
2024-03-15 01:25:21,2024-03-15 01:25:25,IP Address,70.185.131.238,100,3,True,2024-03-15 01:25:26,R_2YWcSIi2tvrbSgm,,,,,34.4265,-119.8631,anonymous,EN,Yes,,,,,,,,,,,R_2YWcSIi2tvrbSgm,
