UserLanguage,gender,gender_5_TEXT,age,ethnic,ethnic_10_TEXT,politic,politic_5_TEXT,education,language,language_8_TEXT,ResponseID,SONAid
User Language,What is your gender identity? - Selected Choice,What is your gender identity? - Other (please specify) - Text,How old are you? Please indicate your age in years:,Please specify your ethnic background(s). You may choose two or more if applicable. - Selected Choice,Please specify your ethnic background(s). You may choose two or more if applicable. - Other (please specify) - Text,Political preferences - Selected Choice,Political preferences - Other (please specify) - Text,What is your highest level of education?,What is the primary language spoken in your home? - Selected Choice,What is the primary language spoken in your home? - Other (please specify) - Text,ResponseID,SONAid
"{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_10_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_8_TEXT""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""SONAid""}"
EN,Female,,,,,,,,,,R_2QFSUNvfjhL1zfu,100179
EN,,,,,,,,,,,R_1QmCurp1iHFSiD1,100179
EN,Female,,19,Asian,,Democrat,,High school (including GED),Other (please specify),Vietnamese,R_3C8Ukaz0zylr2e9,120374
EN,Female,,19,White/Caucasian,,Democrat,,High school (including GED),English,,R_1RlIO1DP8koMWuo,120242
EN,Female,,19,White/Caucasian,,Don't know,,High school (including GED),Arabic,,R_2dZ82kJ2ybI5Wiu,120218
EN,Female,,22,White/Caucasian,,Democrat,,Some college or associate degree,English,,R_7PyO7Fjqtbjl581,120529
EN,Female,,19,"Asian,Hispanic or Latino,African-American",,Democrat,,Some college or associate degree,English,,R_73JC3XxCdLeJrlD,120370
EN,Female,,18,African-American,,Democrat,,Some college or associate degree,English,,R_1hbYZAAG1H7UZQE,120627
EN,Female,,19,Asian,,Democrat,,High school (including GED),Other (please specify),Vietnamese,R_3FJcVxSy2lNvUyM,120374
EN,Female,,20,White/Caucasian,,Democrat,,High school (including GED),English,,R_3z8wN509TuVnNc6,120769
EN,Female,,20,White/Caucasian,,Democrat,,High school (including GED),English,,R_5LCrkQzj6H3Lqbn,120769
EN,Female,,22,White/Caucasian,,Independent,,Some college or associate degree,English,,R_54voFul3k9D7bqr,120747
EN,Female,,19,"White/Caucasian,Hispanic or Latino",,Democrat,,High school (including GED),Spanish,,R_6JCnE5DyshtV1nw,120479
EN,Female,,19,"White/Caucasian,Hispanic or Latino",,Don't know,,Some college or associate degree,English,,R_1FEbkzkWgC4zflT,120351
EN,Female,,20,White/Caucasian,,Democrat,,High school (including GED),English,,R_3zJ5QiBCzzLGrFb,120769
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_1lPCNWKjj0FY2Hv,120833
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_5MLqcyGAyKWnrXM,120833
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_5fVxDGEG0OvT1TP,120833
EN,Female,,18,White/Caucasian,,Democrat,,Some college or associate degree,English,,R_7bi1PFoQyiFeUdr,120353
EN,Female,,22,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_1YcX8Ct6Q5Y0Nj3,120833
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_5yXj4b2FiLKVQLn,120833
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_1kFvbH9ErelA3SN,120833
EN,Female,,21,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_6y1tvYJ4f354gow,120833
EN,Female,,18,Hispanic or Latino,,Don't know,,Some college or associate degree,Spanish,,R_18adM71L8Er8bux,120608
EN,Female,,18,Hispanic or Latino,,Don't know,,Some college or associate degree,Spanish,,R_6iMyjNfi5eK3qjT,120608
EN,,,,,,,,,,,R_4zxSkmU0uloyu2Z,100179
EN,Male,,21,White/Caucasian,,Independent,,Some college or associate degree,English,,R_1FQhiEgg2BqpONz,120316
EN,Female,,2004,Hispanic or Latino,,Don't know,,High school (including GED),Spanish,,R_2D6PXoNGiJXqobD,120541
EN,Female,,20,Asian,,Democrat,,Some college or associate degree,English,,R_5hxKsNO5XO12p1S,120778
EN,Female,,20,Asian,,Democrat,,Some college or associate degree,English,,R_2ewvKYOw2lIyB6E,120778
EN,Female,,18,White/Caucasian,,Democrat,,Some college or associate degree,French,,R_2NrFkBJuksilkHC,120605
EN,Female,,19,White/Caucasian,,Democrat,,High school (including GED),English,,R_5rCBwHBJTpvkpb3,120815
EN,Female,,18,"White/Caucasian,Hispanic or Latino,Native American",,Don't know,,High school (including GED),English,,R_1YUzjPBvYVnwzBL,120484
EN,Male,,19,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_5LgU1eXqKtcFTuL,120216
EN,Female,,18,Hispanic or Latino,,Prefer not to say,,Some college or associate degree,Spanish,,R_1lh2G802tSwgxMU,120217
EN,Male,,19,"White/Caucasian,Asian",,Independent,,High school (including GED),English,,R_1g31aXiXPgtLRgR,120256
EN,Female,,19,Asian,,Democrat,,High school (including GED),English,,R_3g0YlMh4uWQIm91,119713
EN,Female,,20,African-American,,Democrat,,Some college or associate degree,English,,R_2imqlVYkXvGkEUD,120852
EN,Female,,18,White/Caucasian,,Democrat,,Some college or associate degree,English,,R_7JD93ZoB67MhLg3,119474
EN,Female,,18,White/Caucasian,,Democrat,,Some college or associate degree,French,,R_2Pz1ESHNLhmVqlq,120605
EN,Female,,18,White/Caucasian,,Democrat,,Some college or associate degree,French,,R_2R6CcD6FyRm7qDv,120605
EN,Female,,19,"White/Caucasian,Asian",,Democrat,,Some college or associate degree,English,,R_1WtVKNu6flh5Sp7,120967
EN,Male,,22,White/Caucasian,,Independent,,Some college or associate degree,English,,R_6FONgr9hjG6yUud,120282
EN,,,,,,,,,,,R_5anZPF9k5rocRfb,120282
EN,Male,,22,White/Caucasian,,Independent,,Some college or associate degree,English,,R_1M3uDqXKsPlPb51,120282
EN,Female,,19,Hispanic or Latino,,Democrat,,Some college or associate degree,Spanish,,R_5iPq9JGytePNzjP,120599
EN,Female,,19,Hispanic or Latino,,Prefer not to say,,Some college or associate degree,Spanish,,R_2QKiotkOH6sWaLo,120599
